time(s)	origin signal	filtered signal
0.793	-0.434747		0.625592
0.794	-0.485654		0.343609
0.795	-0.716912		0.0121118
0.796	-0.998322		-0.329572
0.797	-1.16609		-0.635834
0.798	-1.13452		-0.865843
0.799	-0.618686		-0.993717
0.8	-0.0361568		-1.01294
0.801	0.664717		-0.934208
0.802	1.09184		-0.777767
0.803	1.24262		-0.56494
0.804	1.01007		-0.312817
0.805	0.677586		-0.0347733
0.806	0.439983		0.254893
0.807	0.415069		0.53555
0.808	0.447694		0.778297
0.809	0.547954		0.949679
0.81	0.48633		1.02051
0.811	0.103648		0.975339
0.812	-0.355279		0.818518
0.813	-0.967497		0.573729
0.814	-1.43838		0.276823
0.815	-1.47989		-0.0342402
0.816	-1.17077		-0.327946
0.817	-0.634797		-0.582866
0.818	-0.138071		-0.785614
0.819	0.196292		-0.925624
0.82	0.306013		-0.990899
0.821	0.290961		-0.968013
0.822	0.221345		-0.847131
0.823	0.288984		-0.62963
0.824	0.615499		-0.333677
0.825	0.979038		0.00570988
0.826	1.29815		0.343187
0.827	1.32927		0.633988
0.828	0.947686		0.844608
0.829	0.376351		0.958915
0.83	-0.29463		0.977454
0.831	-0.754955		0.911104
0.832	-0.992967		0.773305
0.833	-0.906846		0.574972
0.834	-0.697843		0.325003
0.835	-0.529896		0.0350586
0.836	-0.468767		-0.274551
0.837	-0.600401		-0.572439
0.838	-0.722955		-0.819653
0.839	-0.790968		-0.978796
0.84	-0.462581		-1.02481
0.841	0.109122		-0.952361
0.842	0.72126		-0.777063
0.843	1.27302		-0.529377
0.844	1.44275		-0.244491
0.845	1.29283		0.0469161
0.846	0.883362		0.323167
0.847	0.462694		0.570021
0.848	0.132812		0.775267
0.849	-0.0649638		0.923532
0.85	-0.0248039		0.995508
0.851	0.00355747		0.972508
0.852	-0.0657228		0.844779
0.853	-0.379647		0.618915
0.854	-0.875882		0.32036
0.855	-1.33976		-0.0111259
0.856	-1.42807		-0.33118
0.857	-1.27773		-0.601721
0.858	-0.706495		-0.798533
0.859	-0.0636921		-0.912332
0.86	0.470162		-0.944154
0.861	0.717568		-0.898501
0.862	0.821451		-0.77863
0.863	0.58773		-0.586539
0.864	0.508734		-0.328246
0.865	0.479507		-0.0199063
0.866	0.677459		0.30868
0.867	0.949386		0.616703
0.868	0.993193		0.860898
0.869	0.781756		1.00669
0.87	0.309251		1.03739
0.871	-0.38063		0.957068
0.872	-0.980292		0.786292
0.873	-1.33587		0.553225
0.874	-1.27548		0.28463
0.875	-1.03336		0.00115304
0.876	-0.609029		-0.281866
0.877	-0.309239		-0.549118
0.878	-0.172256		-0.780309
0.879	-0.252843		-0.949069
0.88	-0.343441		-1.02764
0.881	-0.198178		-0.995781
0.882	0.153211		-0.849557
0.883	0.647529		-0.605672
0.884	1.22467		-0.298534
0.885	1.49886		0.0288158
0.886	1.44258		0.335827
0.887	1.00741		0.593058
0.888	0.418782		0.784594
0.889	-0.141948		0.904613
0.89	-0.452131		0.950827
0.891	-0.526176		0.919725
0.892	-0.417731		0.806302
0.893	-0.39027		0.60898
0.894	-0.473587		0.336701
0.895	-0.744889		0.0136876
0.896	-0.973257		-0.321591
0.897	-1.16215		-0.623888
0.898	-1.09132		-0.852464
0.899	-0.690423		-0.981213
0.9	0.0369442		-1.00334
0.901	0.677428		-0.928789
0.902	1.04071		-0.77687
0.903	1.18594		-0.567694
0.904	1.05734		-0.317163
0.905	0.662882		-0.0377178
0.906	0.426399		0.256488
0.907	0.357981		0.544214
0.908	0.425132		0.795071
0.909	0.559005		0.97388
0.91	0.437363		1.0498
0.911	0.155224		1.00642
0.912	-0.395713		0.848195
0.913	-0.974049		0.59976
0.914	-1.38031		0.298408
